Altium Designer Pick and Place Locations
Pick Place for BRASS_SDR(V1.1).csv

========================================================================================================================
File Design Information:

Date:       21.10.24
Time:       15:10
Revision:   Not in VersionControl
Variant:    V1.0
Units used: mm

"Designator,""Footprint"",""Center-X(mm)"",""Center-Y(mm)"",""Ref-X(mm)"",""Ref-Y(mm)"",""Pad-X(mm)"",""Pad-Y(mm)"",""Rotation"",""Layer"",""Comment"""
"ENC1,""PEC12"",""13.9500mm"",""89.7500mm"",""13.9500mm"",""89.7500mm"",""16.3900mm"",""97.0525mm"",""180"",""TopLayer"",""ENCODER"""
"ENC2,""PEC12"",""13.9500mm"",""20.8000mm"",""13.9500mm"",""20.8000mm"",""16.3900mm"",""28.1025mm"",""180"",""TopLayer"",""ENCODER"""
"FB1,""ind0603"",""169.7500mm"",""60.2000mm"",""169.7500mm"",""60.2000mm"",""169.7500mm"",""59.3900mm"",""90"",""BottomLayer"",""BLM18"""
"FB2,""ind0603"",""69.2250mm"",""102.7500mm"",""69.2250mm"",""102.7500mm"",""69.2250mm"",""101.9400mm"",""90"",""BottomLayer"",""BLM18"""
"FB3,""ind0603"",""34.6240mm"",""75.3750mm"",""34.6240mm"",""75.3750mm"",""34.6240mm"",""76.1850mm"",""270"",""BottomLayer"",""BLM18"""
"FB4,""ind0603"",""41.3000mm"",""27.2500mm"",""41.3000mm"",""27.2500mm"",""41.3000mm"",""26.4400mm"",""90"",""BottomLayer"",""BLM18"""
"FB5,""ind0603"",""37.1000mm"",""41.3250mm"",""37.1000mm"",""41.3250mm"",""37.9100mm"",""41.3250mm"",""180"",""BottomLayer"",""BLM18"""
"FB6,""ind0603"",""136.7137mm"",""39.5260mm"",""136.7137mm"",""39.5260mm"",""137.5237mm"",""39.5260mm"",""180"",""BottomLayer"",""BLM18"""
"FB7,""ind0603"",""111.9500mm"",""69.1400mm"",""111.9500mm"",""69.1400mm"",""111.9500mm"",""68.3300mm"",""90"",""BottomLayer"",""BLM18"""
"FB8,""ind0603"",""111.5000mm"",""81.1500mm"",""111.5000mm"",""81.1500mm"",""111.5000mm"",""81.9600mm"",""270"",""BottomLayer"",""BLM18"""
"FB9,""ind0603"",""185.4250mm"",""35.0750mm"",""185.4250mm"",""35.0750mm"",""185.4250mm"",""34.2650mm"",""90"",""BottomLayer"",""BLM18"""
"FB10,""ind0603"",""170.4000mm"",""99.6250mm"",""170.4000mm"",""99.6250mm"",""170.4000mm"",""98.8150mm"",""90"",""BottomLayer"",""BLM18"""
"FB11,""ind0603"",""167.0250mm"",""83.0250mm"",""167.0250mm"",""83.0250mm"",""167.0250mm"",""82.2150mm"",""90"",""BottomLayer"",""BLM18"""
"FB12,""ind0603"",""151.4250mm"",""83.0250mm"",""151.4250mm"",""83.0250mm"",""151.4250mm"",""82.2150mm"",""90"",""BottomLayer"",""BLM18"""
"G1,""CR1220"",""136.4700mm"",""101.0750mm"",""136.8000mm"",""101.0750mm"",""128.5700mm"",""101.0750mm"",""180"",""BottomLayer"",""CR1220"""
"L1,""ind0603"",""45.4000mm"",""86.5250mm"",""45.4000mm"",""86.5250mm"",""46.2100mm"",""86.5250mm"",""180"",""BottomLayer"",""47nH"""
"L2,""ind0603"",""45.4000mm"",""84.9250mm"",""45.4000mm"",""84.9250mm"",""46.2100mm"",""84.9250mm"",""180"",""BottomLayer"",""47nH"""
"L3,""IND_4020"",""59.1814mm"",""6.4750mm"",""59.1814mm"",""6.4750mm"",""59.1814mm"",""4.6250mm"",""90"",""BottomLayer"",""10uH"""
"L4,""NLV32T"",""54.5559mm"",""55.7000mm"",""54.5559mm"",""55.7000mm"",""53.4917mm"",""56.7642mm"",""315"",""BottomLayer"",""180nH"""
"L5,""NLV32T"",""48.8406mm"",""55.7000mm"",""48.8406mm"",""55.7000mm"",""47.7764mm"",""56.7642mm"",""315"",""BottomLayer"",""120nH"""
"L6,""NLV32T"",""43.1500mm"",""55.7000mm"",""43.1500mm"",""55.7000mm"",""42.0858mm"",""56.7642mm"",""315"",""BottomLayer"",""120nH"""
"L7,""ind0603"",""32.8500mm"",""49.5100mm"",""32.8500mm"",""49.5100mm"",""32.8500mm"",""50.3200mm"",""270"",""BottomLayer"",""1uH"""
"L8,""NLV32T"",""119.3460mm"",""96.6250mm"",""119.3460mm"",""96.6250mm"",""119.3460mm"",""95.1200mm"",""90"",""BottomLayer"",""18uH"""
"L9,""NLV32T"",""112.7710mm"",""96.6250mm"",""112.7710mm"",""96.6250mm"",""112.7710mm"",""95.1200mm"",""90"",""BottomLayer"",""18uH"""
"L10,""NLV32T"",""55.8250mm"",""47.4000mm"",""55.8250mm"",""47.4000mm"",""55.8250mm"",""48.9050mm"",""270"",""BottomLayer"",""150nH"""
"L11,""NLV32T"",""58.8250mm"",""47.4000mm"",""58.8250mm"",""47.4000mm"",""58.8250mm"",""48.9050mm"",""270"",""BottomLayer"",""150nH"""
"R1,""RES_NET0603x4"",""97.6000mm"",""66.0000mm"",""97.6000mm"",""66.0000mm"",""98.8000mm"",""65.2000mm"",""180"",""BottomLayer"",""47R"""
"R2,""RES_NET0603x4"",""91.2500mm"",""66.0000mm"",""91.2500mm"",""66.0000mm"",""92.4500mm"",""65.2000mm"",""180"",""BottomLayer"",""47R"""
"R3,""res0603"",""49.4750mm"",""81.2500mm"",""49.4750mm"",""81.2500mm"",""48.6650mm"",""81.2500mm"",""0"",""BottomLayer"",""100R"""
"R4,""RES_NET0603x4"",""84.9000mm"",""66.0000mm"",""84.9000mm"",""66.0000mm"",""86.1000mm"",""65.2000mm"",""180"",""BottomLayer"",""47R"""
"R5,""RES_NET0603x4"",""78.5500mm"",""66.0000mm"",""78.5500mm"",""66.0000mm"",""79.7500mm"",""65.2000mm"",""180"",""BottomLayer"",""47R"""
"R6,""res0603"",""39.2250mm"",""80.7000mm"",""39.2250mm"",""80.7000mm"",""39.2250mm"",""81.5100mm"",""270"",""BottomLayer"",""470R"""
"R7,""res0603"",""65.4000mm"",""52.1500mm"",""65.4000mm"",""52.1500mm"",""64.5900mm"",""52.1500mm"",""0"",""BottomLayer"",""47R"""
"R8,""res0603"",""59.6250mm"",""93.8750mm"",""59.6250mm"",""93.8750mm"",""59.6250mm"",""93.0650mm"",""90"",""BottomLayer"",""0R"""
"R9,""res0603"",""53.7250mm"",""77.6000mm"",""53.7250mm"",""77.6000mm"",""54.5350mm"",""77.6000mm"",""180"",""BottomLayer"",""0R"""
"R10,""res0603"",""29.7750mm"",""100.5750mm"",""29.7750mm"",""100.5750mm"",""29.7750mm"",""99.7650mm"",""90"",""BottomLayer"",""0R"""
"R11,""res0603"",""46.8650mm"",""94.7500mm"",""46.8650mm"",""94.7500mm"",""46.0550mm"",""94.7500mm"",""0"",""BottomLayer"",""130R"""
"R12,""res0603"",""50.1150mm"",""94.7500mm"",""50.1150mm"",""94.7500mm"",""50.9250mm"",""94.7500mm"",""180"",""BottomLayer"",""130R"""
"R13,""res0603"",""65.4000mm"",""56.8750mm"",""65.4000mm"",""56.8750mm"",""66.2100mm"",""56.8750mm"",""180"",""BottomLayer"",""47K"""
"R14,""res0603"",""65.4000mm"",""55.3000mm"",""65.4000mm"",""55.3000mm"",""66.2100mm"",""55.3000mm"",""180"",""BottomLayer"",""5K6"""
"R15,""res0603"",""46.8650mm"",""96.3250mm"",""46.8650mm"",""96.3250mm"",""47.6750mm"",""96.3250mm"",""180"",""BottomLayer"",""82R"""
"R16,""res0603"",""50.1150mm"",""96.3250mm"",""50.1150mm"",""96.3250mm"",""49.3050mm"",""96.3250mm"",""0"",""BottomLayer"",""82R"""
"R17,""res0603"",""104.0250mm"",""69.6000mm"",""104.0250mm"",""69.6000mm"",""104.0250mm"",""68.7900mm"",""90"",""BottomLayer"",""4K7"""
"R18,""res0603"",""65.4000mm"",""47.3500mm"",""65.4000mm"",""47.3500mm"",""64.5900mm"",""47.3500mm"",""0"",""BottomLayer"",""4K7"""
"R19,""res0603"",""65.4000mm"",""45.7750mm"",""65.4000mm"",""45.7750mm"",""64.5900mm"",""45.7750mm"",""0"",""BottomLayer"",""4K7"""
"R20,""res0603"",""65.4000mm"",""14.5250mm"",""65.4000mm"",""14.5250mm"",""64.5900mm"",""14.5250mm"",""0"",""BottomLayer"",""4K7"""
"R21,""res0603"",""65.4000mm"",""11.2250mm"",""65.4000mm"",""11.2250mm"",""64.5900mm"",""11.2250mm"",""0"",""BottomLayer"",""4K7"""
"R22,""res0603"",""93.5250mm"",""96.5000mm"",""93.5250mm"",""96.5000mm"",""93.5250mm"",""95.6900mm"",""90"",""BottomLayer"",""22K"""
"R23,""res0603"",""97.7750mm"",""107.1000mm"",""97.7750mm"",""107.1000mm"",""97.7750mm"",""107.9100mm"",""270"",""BottomLayer"",""10K"""
"R24,""res0603"",""95.1000mm"",""96.5000mm"",""95.1000mm"",""96.5000mm"",""95.1000mm"",""95.6900mm"",""90"",""BottomLayer"",""4K7"""
"R25,""res0603"",""12.6600mm"",""47.8850mm"",""12.6600mm"",""47.8850mm"",""11.8500mm"",""47.8850mm"",""0"",""BottomLayer"",""10K"""
"R26,""res0603"",""12.6600mm"",""37.7250mm"",""12.6600mm"",""37.7250mm"",""11.8500mm"",""37.7250mm"",""0"",""BottomLayer"",""10K"""
"R27,""res0603"",""12.6600mm"",""40.2650mm"",""12.6600mm"",""40.2650mm"",""11.8500mm"",""40.2650mm"",""0"",""BottomLayer"",""10K"""
"R28,""res0603"",""12.6600mm"",""35.1850mm"",""12.6600mm"",""35.1850mm"",""11.8500mm"",""35.1850mm"",""0"",""BottomLayer"",""10K"""
"R29,""res0603"",""12.6600mm"",""42.8050mm"",""12.6600mm"",""42.8050mm"",""11.8500mm"",""42.8050mm"",""0"",""BottomLayer"",""10K"""
"R30,""RES_NET0603x4"",""50.0750mm"",""37.3000mm"",""50.0750mm"",""37.3000mm"",""48.8750mm"",""36.5000mm"",""0"",""TopLayer"",""47R"""
"R31,""RES_NET0603x4"",""53.6500mm"",""37.3000mm"",""53.6500mm"",""37.3000mm"",""52.4500mm"",""36.5000mm"",""0"",""TopLayer"",""47R"""
"R32,""res0603"",""49.9064mm"",""9.6637mm"",""49.9064mm"",""9.6637mm"",""49.0964mm"",""9.6637mm"",""0"",""BottomLayer"",""470R"""
"R33,""RES_NET0603x4"",""57.2250mm"",""37.3000mm"",""57.2250mm"",""37.3000mm"",""56.0250mm"",""36.5000mm"",""0"",""TopLayer"",""47R"""
"R34,""res0603"",""49.9064mm"",""8.0637mm"",""49.9064mm"",""8.0637mm"",""50.7164mm"",""8.0637mm"",""180"",""BottomLayer"",""5R1"""
"R35,""RES_NET0603x4"",""60.8000mm"",""37.3000mm"",""60.8000mm"",""37.3000mm"",""59.6000mm"",""36.5000mm"",""0"",""TopLayer"",""47R"""
"R36,""RES_NET0603x4"",""64.3750mm"",""37.3000mm"",""64.3750mm"",""37.3000mm"",""63.1750mm"",""36.5000mm"",""0"",""TopLayer"",""47R"""
"R37,""RES_NET0603x4"",""67.9500mm"",""37.3000mm"",""67.9500mm"",""37.3000mm"",""66.7500mm"",""36.5000mm"",""0"",""TopLayer"",""47R"""
"R38,""res0603"",""153.6000mm"",""67.0000mm"",""153.6000mm"",""67.0000mm"",""152.7900mm"",""67.0000mm"",""0"",""BottomLayer"",""2K"""
"R39,""res0603"",""153.6000mm"",""65.4250mm"",""153.6000mm"",""65.4250mm"",""152.7900mm"",""65.4250mm"",""0"",""BottomLayer"",""2K"""
"R40,""RES_NET0603x4"",""71.5250mm"",""37.3000mm"",""71.5250mm"",""37.3000mm"",""70.3250mm"",""36.5000mm"",""0"",""TopLayer"",""47R"""
"R41,""res0603"",""74.1250mm"",""37.2750mm"",""74.1250mm"",""37.2750mm"",""74.1250mm"",""36.4650mm"",""90"",""TopLayer"",""47R"""
"R42,""res0603"",""30.3000mm"",""55.3500mm"",""30.3000mm"",""55.3500mm"",""31.1100mm"",""55.3500mm"",""180"",""BottomLayer"",""18R"""
"R43,""res0603"",""32.8500mm"",""56.1600mm"",""32.8500mm"",""56.1600mm"",""32.8500mm"",""55.3500mm"",""90"",""BottomLayer"",""300R"""
"R44,""res0603"",""27.7500mm"",""54.5250mm"",""27.7500mm"",""54.5250mm"",""27.7500mm"",""55.3350mm"",""270"",""BottomLayer"",""300R"""
"R45,""res0603"",""58.8592mm"",""51.7750mm"",""58.8592mm"",""51.7750mm"",""58.8592mm"",""50.9650mm"",""90"",""BottomLayer"",""49R9"""
"R46,""res0603"",""51.3750mm"",""27.2500mm"",""51.3750mm"",""27.2500mm"",""51.3750mm"",""28.0600mm"",""270"",""BottomLayer"",""2K"""
"R47,""res0603"",""48.1750mm"",""27.2500mm"",""48.1750mm"",""27.2500mm"",""48.1750mm"",""28.0600mm"",""270"",""BottomLayer"",""4K7"""
"R49,""res0603"",""28.1000mm"",""42.8750mm"",""28.1000mm"",""42.8750mm"",""28.1000mm"",""43.6850mm"",""270"",""BottomLayer"",""47K"""
"R50,""res0603"",""65.4000mm"",""42.6250mm"",""65.4000mm"",""42.6250mm"",""66.2100mm"",""42.6250mm"",""180"",""BottomLayer"",""47R"""
"R51,""res0603"",""49.7750mm"",""27.2500mm"",""49.7750mm"",""27.2500mm"",""49.7750mm"",""26.4400mm"",""90"",""BottomLayer"",""4K7"""
"R52,""res0603"",""41.3000mm"",""23.8250mm"",""41.3000mm"",""23.8250mm"",""41.3000mm"",""23.0150mm"",""90"",""BottomLayer"",""3K3"""
"R53,""res0603"",""42.8750mm"",""23.8250mm"",""42.8750mm"",""23.8250mm"",""42.8750mm"",""24.6350mm"",""270"",""BottomLayer"",""2K"""
"R54,""res0603"",""37.7250mm"",""24.8000mm"",""37.7250mm"",""24.8000mm"",""36.9150mm"",""24.8000mm"",""0"",""BottomLayer"",""4K7"""
"R55,""res0603"",""152.4450mm"",""12.6250mm"",""152.4450mm"",""12.6250mm"",""153.2550mm"",""12.6250mm"",""180"",""BottomLayer"",""4K7"""
"R56,""res0603"",""150.6500mm"",""10.3000mm"",""150.6500mm"",""10.3000mm"",""151.4600mm"",""10.3000mm"",""180"",""BottomLayer"",""4K7"""
"R57,""res0603"",""150.6000mm"",""17.2750mm"",""150.6000mm"",""17.2750mm"",""149.7900mm"",""17.2750mm"",""0"",""BottomLayer"",""4K7"""
"R58,""res0603"",""169.2500mm"",""11.6500mm"",""169.2500mm"",""11.6500mm"",""170.0600mm"",""11.6500mm"",""180"",""BottomLayer"",""4K7"""
"R59,""res0603"",""169.2500mm"",""6.8500mm"",""169.2500mm"",""6.8500mm"",""170.0600mm"",""6.8500mm"",""180"",""BottomLayer"",""4K7"""
"R60,""res0603"",""169.2500mm"",""10.0750mm"",""169.2500mm"",""10.0750mm"",""170.0600mm"",""10.0750mm"",""180"",""BottomLayer"",""4K7"""
"R61,""res0603"",""139.2250mm"",""12.0500mm"",""139.2250mm"",""12.0500mm"",""140.0350mm"",""12.0500mm"",""180"",""BottomLayer"",""4K7"""
"R62,""res0603"",""141.9750mm"",""26.0500mm"",""141.9750mm"",""26.0500mm"",""141.9750mm"",""26.8600mm"",""270"",""BottomLayer"",""4K7"""
"R63,""res0603"",""140.4000mm"",""26.0500mm"",""140.4000mm"",""26.0500mm"",""140.4000mm"",""26.8600mm"",""270"",""BottomLayer"",""4K7"""
"R64,""res0603"",""148.2750mm"",""26.0500mm"",""148.2750mm"",""26.0500mm"",""148.2750mm"",""26.8600mm"",""270"",""BottomLayer"",""4K7"""
"R65,""res0603"",""146.7000mm"",""26.0500mm"",""146.7000mm"",""26.0500mm"",""146.7000mm"",""26.8600mm"",""270"",""BottomLayer"",""4K7"""
"R66,""res0603"",""145.1250mm"",""26.0500mm"",""145.1250mm"",""26.0500mm"",""145.1250mm"",""26.8600mm"",""270"",""BottomLayer"",""4K7"""
"R67,""res0603"",""143.5500mm"",""26.0500mm"",""143.5500mm"",""26.0500mm"",""143.5500mm"",""26.8600mm"",""270"",""BottomLayer"",""4K7"""
"R68,""res0603"",""121.5500mm"",""73.0000mm"",""121.5500mm"",""73.0000mm"",""122.3600mm"",""73.0000mm"",""180"",""BottomLayer"",""100K"""
"R69,""res0603"",""121.5500mm"",""71.4000mm"",""121.5500mm"",""71.4000mm"",""122.3600mm"",""71.4000mm"",""180"",""BottomLayer"",""5K6"""
"R70,""res0603"",""121.8460mm"",""96.6250mm"",""121.8460mm"",""96.6250mm"",""121.8460mm"",""95.8150mm"",""90"",""BottomLayer"",""5R6"""
"R71,""res0603"",""110.2960mm"",""96.6250mm"",""110.2960mm"",""96.6250mm"",""110.2960mm"",""95.8150mm"",""90"",""BottomLayer"",""5R6"""
"R72,""res0603"",""119.1000mm"",""81.1500mm"",""119.1000mm"",""81.1500mm"",""119.1000mm"",""80.3400mm"",""90"",""BottomLayer"",""5K6"""
"R73,""res0603"",""121.5500mm"",""77.7500mm"",""121.5500mm"",""77.7500mm"",""120.7400mm"",""77.7500mm"",""0"",""BottomLayer"",""56R"""
"R74,""res0603"",""121.5500mm"",""82.5000mm"",""121.5500mm"",""82.5000mm"",""120.7400mm"",""82.5000mm"",""0"",""BottomLayer"",""30K"""
"R75,""res0603"",""151.0500mm"",""93.4750mm"",""151.0500mm"",""93.4750mm"",""150.2400mm"",""93.4750mm"",""0"",""BottomLayer"",""10K"""
"R76,""res0603"",""153.0000mm"",""83.0250mm"",""153.0000mm"",""83.0250mm"",""153.0000mm"",""82.2150mm"",""90"",""BottomLayer"",""10K"""
"R79,""res0603"",""164.7500mm"",""100.5750mm"",""164.7500mm"",""100.5750mm"",""163.9400mm"",""100.5750mm"",""0"",""BottomLayer"",""10K"""
"R80,""res0603"",""136.2750mm"",""55.9750mm"",""136.2750mm"",""55.9750mm"",""135.4650mm"",""55.9750mm"",""0"",""BottomLayer"",""10K"""
"R81,""res0603"",""164.1750mm"",""96.7750mm"",""164.1750mm"",""96.7750mm"",""164.1750mm"",""95.9650mm"",""90"",""BottomLayer"",""12K"""
"R82,""res0603"",""151.0500mm"",""95.0500mm"",""151.0500mm"",""95.0500mm"",""151.8600mm"",""95.0500mm"",""180"",""BottomLayer"",""10K"""
"R83,""res0603"",""151.0500mm"",""86.8250mm"",""151.0500mm"",""86.8250mm"",""151.8600mm"",""86.8250mm"",""180"",""BottomLayer"",""10K"""
"R84,""res0603"",""171.9750mm"",""103.7500mm"",""171.9750mm"",""103.7500mm"",""171.9750mm"",""104.5600mm"",""270"",""BottomLayer"",""100K"""
"R85,""res0603"",""164.7500mm"",""102.1500mm"",""164.7500mm"",""102.1500mm"",""165.5600mm"",""102.1500mm"",""180"",""BottomLayer"",""22K"""
"R86,""res0603"",""151.0500mm"",""90.3250mm"",""151.0500mm"",""90.3250mm"",""151.8600mm"",""90.3250mm"",""180"",""BottomLayer"",""10K"""
"R87,""res0603"",""151.0500mm"",""91.9000mm"",""151.0500mm"",""91.9000mm"",""151.8600mm"",""91.9000mm"",""180"",""BottomLayer"",""10K"""
"R88,""res0603"",""157.8000mm"",""72.8500mm"",""157.8000mm"",""72.8500mm"",""158.6100mm"",""72.8500mm"",""180"",""BottomLayer"",""4K7"""
"R89,""res0603"",""166.7250mm"",""64.8250mm"",""166.7250mm"",""64.8250mm"",""166.7250mm"",""64.0150mm"",""90"",""BottomLayer"",""47K"""
"R90,""res0603"",""150.6500mm"",""6.8250mm"",""150.6500mm"",""6.8250mm"",""151.4600mm"",""6.8250mm"",""180"",""BottomLayer"",""4K7"""
"R91,""res0603"",""150.6500mm"",""8.6250mm"",""150.6500mm"",""8.6250mm"",""151.4600mm"",""8.6250mm"",""180"",""BottomLayer"",""4K7"""
"R92,""res0603"",""173.4500mm"",""68.3750mm"",""173.4500mm"",""68.3750mm"",""173.4500mm"",""69.1850mm"",""270"",""BottomLayer"",""4K7"""
"R93,""res0603"",""166.7250mm"",""70.1750mm"",""166.7250mm"",""70.1750mm"",""166.7250mm"",""69.3650mm"",""90"",""BottomLayer"",""47K"""
"R94,""res0603"",""136.2750mm"",""54.4000mm"",""136.2750mm"",""54.4000mm"",""137.0850mm"",""54.4000mm"",""180"",""BottomLayer"",""470R"""
"R95,""res0603"",""136.2750mm"",""52.8000mm"",""136.2750mm"",""52.8000mm"",""137.0850mm"",""52.8000mm"",""180"",""BottomLayer"",""470R"""
"R96,""res0603"",""176.1000mm"",""61.7000mm"",""176.1000mm"",""61.7000mm"",""176.9100mm"",""61.7000mm"",""180"",""BottomLayer"",""1M"""
"R97,""res0603"",""28.0912mm"",""39.6499mm"",""28.0912mm"",""39.6499mm"",""28.0912mm"",""40.4599mm"",""270"",""BottomLayer"",""100R"""
"R98,""res0603"",""30.8500mm"",""33.2250mm"",""30.8500mm"",""33.2250mm"",""30.0400mm"",""33.2250mm"",""0"",""BottomLayer"",""470R"""
"R99,""res0603"",""30.8500mm"",""34.8750mm"",""30.8500mm"",""34.8750mm"",""31.6600mm"",""34.8750mm"",""180"",""BottomLayer"",""47K"""
"S1,""TL9210AF180Q"",""14.0000mm"",""72.0000mm"",""14.0000mm"",""72.0000mm"",""11.0000mm"",""72.0000mm"",""0"",""TopLayer"",""SMD key 6x6x5mm"""
"S2,""TL9210AF180Q"",""37.9000mm"",""16.0000mm"",""37.9000mm"",""16.0000mm"",""40.9000mm"",""16.0000mm"",""180"",""TopLayer"",""SMD key 6x6x5mm"""
"S3,""TL9210AF180Q"",""56.9000mm"",""16.0000mm"",""56.9000mm"",""16.0000mm"",""56.9000mm"",""19.0000mm"",""270"",""TopLayer"",""SMD key 6x6x5mm"""
"S4,""TL9210AF180Q"",""156.0000mm"",""95.0000mm"",""156.0000mm"",""95.0000mm"",""159.0000mm"",""95.0000mm"",""180"",""TopLayer"",""SMD key 6x6x5mm"""
"S5,""TL9210AF180Q"",""176.0000mm"",""95.0000mm"",""176.0000mm"",""95.0000mm"",""179.0000mm"",""95.0000mm"",""180"",""TopLayer"",""SMD key 6x6x5mm"""
"S6,""TL9210AF180Q"",""156.0000mm"",""84.0000mm"",""156.0000mm"",""84.0000mm"",""159.0000mm"",""84.0000mm"",""180"",""TopLayer"",""SMD key 6x6x5mm"""
"S7,""TL9210AF180Q"",""176.0000mm"",""84.0000mm"",""176.0000mm"",""84.0000mm"",""179.0000mm"",""84.0000mm"",""180"",""TopLayer"",""SMD key 6x6x5mm"""
"S8,""TL9210AF180Q"",""75.9000mm"",""16.0000mm"",""75.9000mm"",""16.0000mm"",""78.9000mm"",""16.0000mm"",""180"",""TopLayer"",""SMD Key 6x6x5"""
"S9,""TL9210AF180Q"",""94.9000mm"",""16.0000mm"",""94.9000mm"",""16.0000mm"",""97.9000mm"",""16.0000mm"",""180"",""TopLayer"",""SMD key 6x6x5mm"""
"S10,""TL9210AF180Q"",""113.9000mm"",""16.0000mm"",""113.9000mm"",""16.0000mm"",""116.9000mm"",""16.0000mm"",""180"",""TopLayer"",""SMD key 6x6x5mm"""
"S11,""TL9210AF180Q"",""132.9000mm"",""16.0000mm"",""132.9000mm"",""16.0000mm"",""135.9000mm"",""16.0000mm"",""180"",""TopLayer"",""SMD key 6x6x5mm"""
"S12,""TL9210AF180Q"",""14.0000mm"",""39.0000mm"",""14.0000mm"",""39.0000mm"",""11.0000mm"",""39.0000mm"",""0"",""TopLayer"",""SMD key 6x6x5mm"""
"S13,""TL9210AF180Q"",""14.0000mm"",""50.0000mm"",""14.0000mm"",""50.0000mm"",""11.0000mm"",""50.0000mm"",""0"",""TopLayer"",""SMD key 6x6x5mm"""
"S14,""TL9210AF180Q"",""14.0000mm"",""61.0000mm"",""14.0000mm"",""61.0000mm"",""17.0000mm"",""61.0000mm"",""180"",""TopLayer"",""SMD key 6x6x5mm"""
"S15,""DS04-254-1-02BK-SMT"",""136.8000mm"",""70.0750mm"",""136.8000mm"",""70.0750mm"",""132.3500mm"",""68.8050mm"",""0"",""BottomLayer"",""DS04-254-1-02BK-SMT"""
"SH1,""P-52X37X7-G"",""50.7531mm"",""89.3250mm"",""50.7500mm"",""89.3250mm"",""74.2250mm"",""107.8250mm"",""180"",""BottomLayer"",""P-52X37X7-G"""
"SH2,""P-52X37X7-G"",""43.1502mm"",""40.0593mm"",""43.1502mm"",""40.0624mm"",""61.6502mm"",""16.5874mm"",""90"",""BottomLayer"",""P-52X37X7-G"""
"T1,""TC414"",""33.9750mm"",""85.7250mm"",""33.9750mm"",""85.7250mm"",""35.5650mm"",""84.4550mm"",""90"",""BottomLayer"",""TC4-1T+"""
"T2,""TC414"",""49.8361mm"",""47.3000mm"",""49.8361mm"",""47.3000mm"",""48.5661mm"",""45.7100mm"",""0"",""BottomLayer"",""TC4-1T+"""
"U1,""64-QFN_(9x9)"",""61.5875mm"",""85.5125mm"",""61.8000mm"",""85.7250mm"",""57.3250mm"",""81.9750mm"",""0"",""BottomLayer"",""LTC2208"""
"U2,""16-QFN_3x3"",""40.7625mm"",""85.9000mm"",""38.9500mm"",""87.5250mm"",""40.0000mm"",""87.4000mm"",""270"",""BottomLayer"",""LTC6400-14"""
"U3,""SOIC127P600X175-8N"",""48.5000mm"",""100.5500mm"",""48.5000mm"",""100.5500mm"",""50.9500mm"",""102.4550mm"",""180"",""BottomLayer"",""MC100LVELT22"""
"U4,""QFN50P400X400X100-25N270"",""102.1500mm"",""74.9750mm"",""102.1500mm"",""74.9750mm"",""100.1700mm"",""73.7250mm"",""0"",""BottomLayer"",""TCA8418"""
"U5,""SOT23-5"",""163.4500mm"",""60.2250mm"",""164.7500mm"",""61.1750mm"",""164.7500mm"",""61.1750mm"",""180"",""BottomLayer"",""LDLN025M33R"""
"U6,""SOT23-5"",""62.9250mm"",""102.7750mm"",""64.2250mm"",""103.7250mm"",""64.2250mm"",""103.7250mm"",""180"",""BottomLayer"",""LDLN025M33R"""
"U7,""SOT23-5"",""40.9240mm"",""75.3500mm"",""39.6240mm"",""74.4000mm"",""39.6240mm"",""74.4000mm"",""0"",""BottomLayer"",""LDLN025M33R"""
"U8,""TO170P1394X457-6"",""89.4650mm"",""102.7250mm"",""87.9500mm"",""102.7250mm"",""94.2600mm"",""106.1290mm"",""270"",""BottomLayer"",""LP38501TS-ADJ"""
"U9,""QFN127P5700X5700X150_HS-161N"",""100.1250mm"",""32.8000mm"",""100.1250mm"",""32.8000mm"",""124.8900mm"",""4.4250mm"",""90"",""BottomLayer"",""MicroPhase_XME0724-20I"""
"U10,""SOT95P280X110-6N"",""54.1314mm"",""6.4750mm"",""54.1314mm"",""6.4750mm"",""55.3864mm"",""7.4250mm"",""180"",""BottomLayer"",""TPS61165DBV"""
"U11,""SOIC127P1030X265-16N"",""136.7250mm"",""83.7750mm"",""136.7250mm"",""83.7750mm"",""141.1700mm"",""79.1250mm"",""90"",""BottomLayer"",""DS3231"""
"U12,""SOP65P640X120-28L30N"",""49.8250mm"",""34.7500mm"",""49.8250mm"",""34.7500mm"",""52.6950mm"",""38.9750mm"",""180"",""BottomLayer"",""DAC904E"""
"U13,""SOTFL4P150_409X160X50N"",""36.4600mm"",""52.6225mm"",""36.4600mm"",""52.8100mm"",""37.9600mm"",""51.1950mm"",""180"",""BottomLayer"",""GALI-74"""
"U14,""SOT95P280X110-6N"",""37.7250mm"",""22.1000mm"",""37.7250mm"",""22.1000mm"",""38.9800mm"",""23.0500mm"",""180"",""BottomLayer"",""MCP4725A0T-E/CH"""
"U15,""SOT23-5"",""37.0750mm"",""35.0250mm"",""36.1250mm"",""36.3250mm"",""36.1250mm"",""36.3250mm"",""270"",""BottomLayer"",""LDLN025M33R"""
"U16,""QFN50P400X400X100-25N270"",""144.2250mm"",""16.7000mm"",""144.2250mm"",""16.7000mm"",""142.2450mm"",""15.4500mm"",""0"",""BottomLayer"",""TXS02612RTWR"""
